date;home_team_name;away_team_name;home_score;away_score;;;;;
2015-02-08;KAC Kénitra;KACM Marrakech;0;1;;;;;
2015-02-14;KACM Marrakech;Maghreb Fès;2;1;;;;;
2015-02-14;Chabab Atlas Khénifra;Hassania Agadir;1;0;;;;;
2015-02-15;FUS Rabat ;WAC Casablanca;3;1;;;;;
2015-02-15;Ittihad Zemmouri Khmissat;FAR Rabat;2;2;;;;;
2015-02-15;Chabab Rif Al Hoceima;KAC Kénitra;0;0;;;;;
2015-02-17;RSB Berkane;OCK Khouribga;0;0;;;;;
2015-02-18;RCA ;D.H. Eljadida;0;1;;;;;
2015-02-20;WAC Casablanca;KACM Marrakech;4;0;;;;;
2015-02-21;KAC Kénitra;RSB Berkane;1;0;;;;;
2015-02-21;Hassania Agadir;Moghreb Tétouan;1;2;;;;;
2015-02-21;D.H. Eljadida;FAR Rabat;0;0;;;;;
2015-02-22;Maghreb Fès;Chabab Rif Al Hoceima;2;1;;;;;
2015-02-22;OCK Khouribga;Chabab Atlas Khénifra;2;1;;;;;
2015-02-22;Olympique club de safi;RCA ;1;1;;;;;
2015-02-22;FUS Rabat ;Ittihad Zemmouri Khmissat;1;0;;;;;
2015-02-25;Moghreb Tétouan;Olympique club de safi ;0;1;;;;;
2015-02-28;Chabab Atlas Khénifra;KAC Kénitra;2;1;;;;;
2015-02-28;Ittihad Zemmouri Khmissat;D.H. Eljadida;1;0;;;;;
2015-02-28;Chabab Rif Al Hoceima;WAC Casablanca;1;2;;;;;
2015-03-01;FAR Rabat;Olympique club de safi ;1;1;;;;;
2015-03-01;KACM Marrakech;FUS Rabat;0;0;;;;;
2015-03-04;Moghreb Tétouan;OCK Khouribga;1;1;;;;;
2015-03-06;FUS Rabat ;Chabab Rif Al Hoceima;1;1;;;;;
2015-03-07;WAC Casablanca;RSB Berkane;2;0;;;;;
2015-03-07;KAC Kénitra;Moghreb Tétouan;2;2;;;;;
2015-03-07;Hassania Agadir;FAR Rabat;1;0;;;;;
2015-03-07;OCK Khouribga;RCA ;0;1;;;;;
2015-03-08;KACM Marrakech;Ittihad Zemmouri Khmissat;2;0;;;;;
2015-03-08;Maghreb Fès;Chabab Atlas Khénifra;1;1;;;;;
2015-03-08;Olympique club de safi;D.H. Eljadida;1;0;;;;;
2015-03-11;RSB Berkane;Maghreb Fès;0;0;;;;;
2015-03-14;Chabab Atlas Khénifra;WAC Casablanca;0;1;;;;;
2015-03-15;Moghreb Tétouan;Maghreb Fès;3;2;;;;;
2015-03-15;D.H. Eljadida;Hassania Agadir;2;1;;;;;
2015-03-15;Ittihad Zemmouri Khmissat;Olympique club de safi ;1;1;;;;;
2015-03-15;Chabab Rif Al Hoceima;KACM Marrakech;0;0;;;;;
2015-03-15;FAR Rabat;OCK Khouribga;0;1;;;;;
2015-03-18;RSB Berkane;FUS Rabat;1;1;;;;;
2015-03-20;OCK Khouribga;D.H. Eljadida;1;0;;;;;
2015-03-21;KAC Kénitra;FAR Rabat;0;0;;;;;
2015-03-21;Hassania Agadir;Olympique club de safi ;0;0;;;;;
2015-03-22;Chabab Rif Al Hoceima;Ittihad Zemmouri Khmissat;3;2;;;;;
2015-03-22;Maghreb Fès;RCA ;2;1;;;;;
2015-03-22;FUS Rabat ;Chabab Atlas Khénifra;1;0;;;;;
2015-03-22;KACM Marrakech;RSB Berkane;0;0;;;;;
2015-03-25;RCA ;Hassania Agadir;1;2;;;;;
2015-04-10;Chabab Atlas Khénifra;KACM Marrakech;1;0;;;;;
2015-04-11;RCA ;WAC Casablanca;2;2;;;;;
2015-04-11;RSB Berkane;Chabab Rif Al Hoceima;1;0;;;;;
2015-04-11;Moghreb Tétouan;FUS Rabat;1;0;;;;;
2015-04-11;D.H. Eljadida;KAC Kénitra;0;0;;;;;
2015-04-12;FAR Rabat;Maghreb Fès;1;0;;;;;
2015-04-12;Olympique club de safi;OCK Khouribga;0;2;;;;;
2015-04-12;Ittihad Zemmouri Khmissat;Hassania Agadir;0;0;;;;;
2015-04-14;RCA ;KAC Kénitra;0;0;;;;;
2015-04-15;WAC Casablanca;Moghreb Tétouan;1;1;;;;;
2015-04-17;Maghreb Fès;D.H. Eljadida;0;0;;;;;
2015-04-18;WAC Casablanca;FAR Rabat;2;0;;;;;
2015-04-18;OCK Khouribga;Hassania Agadir;2;1;;;;;
2015-04-18;RSB Berkane;Ittihad Zemmouri Khmissat;0;0;;;;;
2015-04-19;Chabab Rif Al Hoceima;Chabab Atlas Khénifra;1;1;;;;;
2015-04-19;KAC Kénitra;Olympique club de safi ;1;0;;;;;
2015-04-22;KACM Marrakech;Moghreb Tétouan;1;3;;;;;
2015-04-24;Olympique club de safi;Maghreb Fès;0;1;;;;;
2015-04-25;RCA ;KACM Marrakech;1;1;;;;;
2015-04-25;Hassania Agadir;KAC Kénitra;1;0;;;;;
2015-04-25;Ittihad Zemmouri Khmissat;OCK Khouribga;0;1;;;;;
2015-04-25;FAR Rabat;FUS Rabat;0;0;;;;;
2015-04-26;Moghreb Tétouan;Chabab Rif Al Hoceima;0;0;;;;;
2015-04-26;D.H. Eljadida;WAC Casablanca;0;2;;;;;
2015-05-03;Chabab Atlas Khénifra;RSB Berkane;1;1;;;;;
2015-05-07;FUS Rabat ;RCA ;2;2;;;;;
2015-05-09;WAC Casablanca;Olympique club de safi ;2;0;;;;;
2015-05-09;RSB Berkane;Moghreb Tétouan;1;0;;;;;
2015-05-10;Maghreb Fès;Hassania Agadir;3;1;;;;;
2015-05-10;KAC Kénitra;OCK Khouribga;2;0;;;;;
2015-05-10;Chabab Rif Al Hoceima;RCA ;2;1;;;;;
2015-05-10;Chabab Atlas Khénifra;Ittihad Zemmouri Khmissat;2;2;;;;;
2015-05-10;KACM Marrakech;FAR Rabat;1;0;;;;;
2015-05-10;FUS Rabat ;D.H. Eljadida;0;1;;;;;
2015-05-15;Olympique club de safi;FUS Rabat;0;2;;;;;
2015-05-16;OCK Khouribga;Maghreb Fès;3;2;;;;;
2015-05-16;Moghreb Tétouan;Chabab Atlas Khénifra;0;0;;;;;
2015-05-16;KAC Kénitra;Ittihad Zemmouri Khmissat;1;1;;;;;
2015-05-16;Hassania Agadir;WAC Casablanca;0;3;;;;;
2015-05-16;FAR Rabat;Chabab Rif Al Hoceima;4;0;;;;;
2015-05-17;D.H. Eljadida;KACM Marrakech;3;4;;;;;
2015-05-19;RCA ;RSB Berkane;1;1;;;;;
2015-05-23;Ittihad Zemmouri Khmissat;Moghreb Tétouan;2;1;;;;;
2015-05-23;Maghreb Fès;KAC Kénitra;2;1;;;;;
2015-05-23;RSB Berkane;FAR Rabat;1;1;;;;;
2015-05-23;Chabab Rif Al Hoceima;D.H. Eljadida;1;0;;;;;
2015-05-23;Chabab Atlas Khénifra;RCA ;1;0;;;;;
2015-05-24;FUS Rabat ;Hassania Agadir;2;2;;;;;
2015-05-24;WAC Casablanca;OCK Khouribga;0;1;;;;;
2015-05-24;KACM Marrakech;Olympique club de safi ;0;0;;;;;
2015-09-05;Itthad Tanger;Maghreb Fès;2;0;;;;;
2015-09-05;Hassania Agadir;Chabab Rif Al Hoceima;2;1;;;;;
2015-09-06;WAC Casablanca;FAR Rabat;4;2;;;;;
2015-09-06;RSB Berkane;OCK Khouribga;0;0;;;;;
2015-09-06;KACM Marrakech;MCO Oujda;2;0;;;;;
2015-09-06;KAC Kénitra;D.H. Eljadida;0;0;;;;;
2015-09-06;FUS Rabat ;RCA ;2;0;;;;;
2015-09-12;RCA ;KACM Marrakech;1;1;;;;;
2015-09-12;FAR Rabat;Olympique club de safi ;1;1;;;;;
2015-09-12;Chabab Rif Al Hoceima;Ittihad Tanger;1;0;;;;;
2015-09-13;OCK Khouribga;WAC Casablanca;1;3;;;;;
2015-09-13;MCO Oujda;KAC Kénitra;1;0;;;;;
2015-09-13;Maghreb Fès;FUS Rabat;1;1;;;;;
2015-09-13;D.H. Eljadida;RSB Berkane;0;1;;;;;
2015-09-18;Olympique club de safi;Moghreb Tétouan;1;0;;;;;
2015-09-22;Moghreb Tétouan;Hassania Agadir;2;4;;;;;
2015-10-02;Olympique club de safi;OCK Khouribga;0;1;;;;;
2015-10-03;KACM Marrakech;Maghreb Fès;0;0;;;;;
2015-10-03;Ittihad Tanger;Moghreb Tétouan;2;2;;;;;
2015-10-03;FUS Rabat ;Chabab Rif Al Hoceima;1;1;;;;;
2015-10-04;WAC Casablanca;D.H. Eljadida;2;1;;;;;
2015-10-04;MCO Oujda;RCA ;0;1;;;;;
2015-10-04;KAC Kénitra;RSB Berkane;1;2;;;;;
2015-10-05;Hassania Agadir;FAR Rabat;1;0;;;;;
2015-10-09;Moghreb Tétouan;FUS Rabat;0;3;;;;;
2015-10-10;Maghreb Fès;MCO Oujda;1;2;;;;;
2015-10-10;Chabab Rif Al Hoceima;KACM Marrakech;1;0;;;;;
2015-10-10;RCA ;KAC Kénitra;0;1;;;;;
2015-10-11;OCK Khouribga;Hassania Agadir;2;1;;;;;
2015-10-11;FAR Rabat;Ittihad Tanger;1;2;;;;;
2015-10-11;RSB Berkane;WAC Casablanca;0;0;;;;;
2015-10-11;D.H. Eljadida;Olympique club de safi ;0;0;;;;;
2015-10-30;Ittihad Tanger;OCK Khouribga;2;1;;;;;
2015-10-31;RCA ;Maghreb Fès;3;0;;;;;
2015-10-31;KACM Marrakech;Moghreb Tétouan;2;1;;;;;
2015-10-31;FUS Rabat ;FAR Rabat;2;3;;;;;
2015-11-01;Olympique club de safi;RSB Berkane;1;0;;;;;
2015-11-01;MCO Oujda;Chabab Rif Al Hoceima;2;3;;;;;
2015-11-01;KAC Kénitra;WAC Casablanca;0;1;;;;;
2015-11-01;Hassania Agadir;D.H. Eljadida;1;1;;;;;
2015-11-06;RSB Berkane;Hassania Agadir;1;1;;;;;
2015-11-07;FAR Rabat;KACM Marrakech;1;0;;;;;
2015-11-07;D.H. Eljadida;Ittihad Tanger;1;1;;;;;
2015-11-08;WAC Casablanca;Olympique club de safi ;2;0;;;;;
2015-11-08;OCK Khouribga;FUS Rabat;1;2;;;;;
2015-11-08;Maghreb Fès;KAC Kénitra;0;0;;;;;
2015-11-08;Chabab Rif Al Hoceima;RCA ;0;2;;;;;
2015-11-09;Moghreb Tétouan;MCO Oujda;1;1;;;;;
2015-11-13;KACM Marrakech;OCK Khouribga;1;0;;;;;
2015-11-13;Ittihad Tanger;RSB Berkane;1;0;;;;;
2015-11-13;FUS Rabat ;D.H. Eljadida;0;0;;;;;
2015-11-14;MCO Oujda;FAR Rabat;0;0;;;;;
2015-11-14;Maghreb Fès;Chabab Rif Al Hoceima;1;0;;;;;
2015-11-14;KAC Kénitra;Olympique club de safi ;2;1;;;;;
2015-11-17;RCA ;Moghreb Tétouan;2;3;;;;;
2015-11-20;Chabab Rif Al Hoceima;KAC Kénitra;1;2;;;;;
2015-11-21;WAC Casablanca;Ittihad Tanger;2;2;;;;;
2015-11-21;Olympique club de safi;Hassania Agadir;2;4;;;;;
2015-11-21;D.H. Eljadida;KACM Marrakech;1;0;;;;;
2015-11-22;Moghreb Tétouan;Maghreb Fès;1;0;;;;;
2015-11-22;FAR Rabat;RCA ;1;0;;;;;
2015-11-23;RSB Berkane;FUS Rabat;0;1;;;;;
2015-11-23;OCK Khouribga;MCO Oujda;1;2;;;;;
2015-11-25;Hassania Agadir;WAC Casablanca;0;1;;;;;
2015-11-28;KACM Marrakech;RSB Berkane;0;0;;;;;
2015-11-28;Ittihad Tanger;Olympique club de safi ;0;1;;;;;
2015-11-28;Chabab Rif Al Hoceima;Moghreb Tétouan;1;2;;;;;
2015-11-29;RCA ;OCK Khouribga;1;2;;;;;
2015-11-29;Maghreb Fès;FAR Rabat;0;1;;;;;
2015-11-29;KAC Kénitra;Hassania Agadir;3;1;;;;;
2015-11-29;FUS Rabat ;WAC Casablanca;1;0;;;;;
2015-11-30;MCO Oujda;D.H. Eljadida;1;0;;;;;
2015-12-04;Hassania Agadir;Ittihad Tanger;1;3;;;;;
2015-12-05;WAC Casablanca;KACM Marrakech;2;0;;;;;
2015-12-05;FAR Rabat;Chabab Rif Al Hoceima;2;2;;;;;
2015-12-06;RSB Berkane;MCO Oujda;2;1;;;;;
2015-12-06;OCK Khouribga;Maghreb Fès;0;3;;;;;
2015-12-06;Moghreb Tétouan;KAC Kénitra;1;0;;;;;
2015-12-06;D.H. Eljadida;RCA ;1;1;;;;;
2015-12-07;Olympique club de safi;FUS Rabat;0;1;;;;;
2015-12-11;Maghreb Fès;D.H. Eljadida;0;0;;;;;
2015-12-12;RCA ;RSB Berkane;1;0;;;;;
2015-12-12;MCO Oujda;WAC Casablanca;1;1;;;;;
2015-12-12;Moghreb Tétouan;FAR Rabat;1;1;;;;;
2015-12-13;KACM Marrakech;Olympique club de safi ;1;2;;;;;
2015-12-13;KAC Kénitra;Ittihad Tanger;0;0;;;;;
2015-12-13;FUS Rabat ;Hassania Agadir;2;0;;;;;
2015-12-13;Chabab Rif Al Hoceima;OCK Khouribga;1;0;;;;;
2015-12-18;RSB Berkane;Maghreb Fès;2;1;;;;;
2015-12-19;OCK Khouribga;Moghreb Tétouan;0;1;;;;;
2015-12-19;Hassania Agadir;KACM Marrakech;1;1;;;;;
2015-12-19;FAR Rabat;KAC Kénitra;2;1;;;;;
2015-12-19;D.H. Eljadida;Chabab Rif Al Hoceima;3;0;;;;;
2015-12-20;WAC Casablanca;RCA ;0;0;;;;;
2015-12-20;Ittihad Tanger;FUS Rabat;0;1;;;;;
2015-12-21;Olympique club de safi;MCO Oujda;0;0;;;;;
2015-12-25;KACM Marrakech;Ittihad Tanger;0;1;;;;;
2015-12-25;FAR Rabat;OCK Khouribga;0;0;;;;;
2015-12-26;RCA ;Olympique club de safi ;0;0;;;;;
2015-12-26;KAC Kénitra;FUS Rabat;2;1;;;;;
2015-12-26;Chabab Rif Al Hoceima;RSB Berkane;1;2;;;;;
2015-12-27;MCO Oujda;Hassania Agadir;2;3;;;;;
2015-12-27;Moghreb Tétouan;D.H. Eljadida;1;1;;;;;
2015-12-27;Maghreb Fès;WAC Casablanca;0;0;;;;;
2015-12-31;RSB Berkane;Moghreb Tétouan;0;0;;;;;
2016-01-01;Olympique club de safi;Maghreb Fès;2;2;;;;;
2016-01-01;Ittihad Tanger;MCO Oujda;3;0;;;;;
2016-01-01;Hassania Agadir;RCA ;1;1;;;;;
2016-01-01;FUS Rabat ;KACM Marrakech;1;1;;;;;
2016-01-02;WAC Casablanca;Chabab Rif Al Hoceima;0;0;;;;;
2016-01-02;KAC Kénitra;OCK Khouribga;2;2;;;;;
2016-01-02;D.H. Eljadida;FAR Rabat;2;3;;;;;
2016-01-05;FAR Rabat;RSB Berkane;0;0;;;;;
2016-01-06;OCK Khouribga;D.H. Eljadida;1;1;;;;;
2016-01-06;Moghreb Tétouan;WAC Casablanca;0;0;;;;;
2016-01-06;Maghreb Fès;Hassania Agadir;2;0;;;;;
2016-01-07;RCA ;Ittihad Tanger;2;2;;;;;
2016-01-07;MCO Oujda;FUS Rabat;2;1;;;;;
2016-01-07;KACM Marrakech;KAC Kénitra;1;2;;;;;
2016-01-07;Chabab Rif Al Hoceima;Olympique club de safi ;3;2;;;;;
2016-01-12;RCA ;FUS Rabat;1;1;;;;;
2016-02-13;Maghreb Fès;Ittihad Tanger;0;0;;;;;
2016-02-13;D.H. Eljadida;KAC Kénitra;0;1;;;;;
2016-02-13;Chabab Rif Al Hoceima;Hassania Agadir;0;1;;;;;
2016-02-14;Moghreb Tétouan;Olympique club de safi ;0;0;;;;;
2016-02-16;OCK Khouribga;RSB Berkane;2;2;;;;;
2016-02-17;MCO Oujda;KACM Marrakech;1;1;;;;;
2016-02-17;FAR Rabat;WAC Casablanca;0;2;;;;;
2016-02-19;FUS Rabat ;Maghreb Fès;0;0;;;;;
2016-02-20;RSB Berkane;D.H. Eljadida;3;1;;;;;
2016-02-20;Hassania Agadir;Moghreb Tétouan;0;1;;;;;
2016-02-21;WAC Casablanca;OCK Khouribga;1;0;;;;;
2016-02-21;KACM Marrakech;RCA ;0;2;;;;;
2016-02-21;KAC Kénitra;MCO Oujda;0;1;;;;;
2016-02-21;Ittihad Tanger;Chabab Rif Al Hoceima;0;2;;;;;
2016-02-22;Olympique club de safi;FAR Rabat;2;1;;;;;
2016-02-26;RSB Berkane;KAC Kénitra;1;0;;;;;
2016-02-27;Chabab Rif Al Hoceima;FUS Rabat;2;1;;;;;
2016-02-28;RCA ;MCO Oujda;4;0;;;;;
2016-02-28;Moghreb Tétouan;Ittihad Tanger;1;0;;;;;
2016-02-28;FAR Rabat;Hassania Agadir;1;4;;;;;
2016-03-01;D.H. Eljadida;WAC Casablanca;0;0;;;;;
2016-03-04;KACM Marrakech;Chabab Rif Al Hoceima;2;0;;;;;
2016-03-04;FUS Rabat ;Moghreb Tétouan;2;0;;;;;
2016-03-05;KAC Kénitra;RCA ;0;3;;;;;
2016-03-05;Hassania Agadir;OCK Khouribga;2;0;;;;;
2016-03-06;Olympique club de safi;D.H. Eljadida;0;1;;;;;
2016-03-06;MCO Oujda;Maghreb Fès;0;0;;;;;
2016-03-06;Ittihad Tanger;FAR Rabat;1;0;;;;;
2016-03-09;OCK Khouribga;Olympique club de safi ;0;0;;;;;
2016-03-09;Maghreb Fès;KACM Marrakech;1;1;;;;;
2016-03-12;Chabab Rif Al Hoceima;MCO Oujda;1;0;;;;;
2016-03-13;RSB Berkane;Olympique club de safi ;1;0;;;;;
2016-03-13;D.H. Eljadida;Hassania Agadir;1;1;;;;;
2016-03-18;Hassania Agadir;RSB Berkane;0;0;;;;;
2016-03-19;RCA ;Chabab Rif Al Hoceima;2;1;;;;;
2016-03-19;MCO Oujda;Moghreb Tétouan;1;2;;;;;
2016-03-19;Ittihad Tanger;D.H. Eljadida;1;0;;;;;
2016-03-20;KAC Kénitra;Maghreb Fès;1;0;;;;;
2016-03-24;OCK Khouribga;Ittihad Tanger;1;0;;;;;
2016-03-24;FAR Rabat;FUS Rabat;1;1;;;;;
2016-03-26;WAC Casablanca;KAC Kénitra;2;0;;;;;
2016-03-27;Moghreb Tétouan;KACM Marrakech;1;0;;;;;
2016-03-27;Maghreb Fès;RCA ;0;3;;;;;
2016-03-29;FUS Rabat ;OCK Khouribga;1;0;;;;;
2016-03-30;Olympique club de safi;WAC Casablanca;0;1;;;;;
2016-03-31;KACM Marrakech;FAR Rabat;3;0;;;;;
2016-04-01;Chabab Rif Al Hoceima;Maghreb Fès;1;1;;;;;
2016-04-02;RSB Berkane;Ittihad Tanger;0;0;;;;;
2016-04-02;D.H. Eljadida;FUS Rabat;0;0;;;;;
2016-04-03;WAC Casablanca;Hassania Agadir;1;2;;;;;
2016-04-03;Olympique club de safi;KAC Kénitra;1;2;;;;;
2016-04-03;Moghreb Tétouan;RCA ;2;5;;;;;
2016-04-04;OCK Khouribga;KACM Marrakech;2;1;;;;;
2016-04-04;FAR Rabat;MCO Oujda;1;0;;;;;
2016-04-09;Maghreb Fès;Moghreb Tétouan;2;0;;;;;
2016-04-10;MCO Oujda;OCK Khouribga;1;0;;;;;
2016-04-10;KAC Kénitra;Chabab Rif Al Hoceima;1;0;;;;;
2016-04-10;Hassania Agadir;Olympique club de safi ;0;0;;;;;
2016-04-11;RCA ;FAR Rabat;1;4;;;;;
2016-04-12;FUS Rabat ;RSB Berkane;0;0;;;;;
2016-04-13;Ittihad Tanger;WAC Casablanca;3;0;;;;;
2016-04-15;D.H. Eljadida;MCO Oujda;3;2;;;;;
2016-04-16;RSB Berkane;KACM Marrakech;2;0;;;;;
2016-04-16;Hassania Agadir;KAC Kénitra;5;1;;;;;
2016-04-17;Olympique club de safi;Ittihad Tanger;2;0;;;;;
2016-04-17;OCK Khouribga;RCA ;1;3;;;;;
2016-04-17;Moghreb Tétouan;Chabab Rif Al Hoceima;1;2;;;;;
2016-04-17;FAR Rabat;Maghreb Fès;1;0;;;;;
2016-04-23;MCO Oujda;RSB Berkane;0;0;;;;;
2016-04-23;KAC Kénitra;Moghreb Tétouan;3;4;;;;;
2016-04-24;RCA ;D.H. Eljadida;0;1;;;;;
2016-04-24;Maghreb Fès;OCK Khouribga;1;1;;;;;
2016-04-24;Ittihad Tanger;Hassania Agadir;3;1;;;;;
2016-04-24;Chabab Rif Al Hoceima;FAR Rabat;1;1;;;;;
2016-04-27;FUS Rabat ;Olympique club de safi ;3;1;;;;;
2016-04-27;KACM Marrakech;WAC Casablanca;1;0;;;;;
2016-04-29;FAR Rabat;Moghreb Tétouan;5;2;;;;;
2016-04-30;D.H. Eljadida;Maghreb Fès;2;1;;;;;
2016-04-30;RSB Berkane;RCA ;1;1;;;;;
2016-04-30;OCK Khouribga;Chabab Rif Al Hoceima;1;0;;;;;
2016-04-30;Ittihad Tanger;KAC Kénitra;1;0;;;;;
2016-05-01;WAC Casablanca;MCO Oujda;2;1;;;;;
2016-05-01;Olympique club de safi;KACM Marrakech;1;0;;;;;
2016-05-01;Hassania Agadir;FUS Rabat;1;1;;;;;
2016-05-04;WAC Casablanca;RSB Berkane;1;0;;;;;
2016-05-07;MCO Oujda;Olympique club de safi ;1;1;;;;;
2016-05-07;KAC Kénitra;FAR Rabat;0;2;;;;;
2016-05-08;RCA ;WAC Casablanca;3;0;;;;;
2016-05-08;Moghreb Tétouan;OCK Khouribga;1;2;;;;;
2016-05-08;Maghreb Fès;RSB Berkane;2;2;;;;;
2016-05-08;Chabab Rif Al Hoceima;D.H. Eljadida;0;0;;;;;
2016-05-13;KACM Marrakech;D.H. Eljadida;1;3;;;;;
2016-05-14;WAC Casablanca;FUS Rabat;0;1;;;;;
2016-05-22;WAC Casablanca;Maghreb Fès;3;0;;;;;
2016-05-22;RSB Berkane;Chabab Rif Al Hoceima;0;1;;;;;
2016-05-22;Ittihad Tanger;KACM Marrakech;0;0;;;;;
2016-05-22;FUS Rabat ;KAC Kénitra;2;1;;;;;
2016-05-22;D.H. Eljadida;Moghreb Tétouan;1;2;;;;;
2016-05-22;Olympique club de safi;RCA ;1;0;;;;;
2016-05-22;Hassania Agadir;MCO Oujda;1;0;;;;;
2016-05-22;OCK Khouribga;FAR Rabat;0;1;;;;;
2016-05-25;KACM Marrakech;Hassania Agadir;3;2;;;;;
2016-05-25;FUS Rabat ;Ittihad Tanger;2;1;;;;;
2016-05-29;RCA ;Hassania Agadir;5;1;;;;;
2016-05-29;OCK Khouribga;KAC Kénitra;1;0;;;;;
2016-05-29;MCO Oujda;Ittihad Tanger;1;2;;;;;
2016-05-29;Moghreb Tétouan;RSB Berkane;1;0;;;;;
2016-05-29;Maghreb Fès;Olympique club de safi ;0;0;;;;;
2016-05-29;KACM Marrakech;FUS Rabat;0;1;;;;;
2016-05-29;FAR Rabat;D.H. Eljadida;3;0;;;;;
2016-05-29;Chabab Rif Al Hoceima;WAC Casablanca;0;1;;;;;
2016-06-04;WAC Casablanca;Moghreb Tétouan;2;0;;;;;
2016-06-04;RSB Berkane;FAR Rabat;2;1;;;;;
2016-06-04;Olympique club de safi;Chabab Rif Al Hoceima;1;0;;;;;
2016-06-04;KAC Kénitra;KACM Marrakech;0;0;;;;;
2016-06-04;Ittihad Tanger;RCA ;3;0;;;;;
2016-06-04;Hassania Agadir;Maghreb Fès;2;5;;;;;
2016-06-04;FUS Rabat ;MCO Oujda;4;2;;;;;
2016-06-04;D.H. Eljadida;OCK Khouribga;1;3;;;;;
2016-08-26;Hassania Agadir;FAR Rabat;1;1;;;;;
2016-08-27;Ittihad Tanger;D.H. Eljadida;4;1;;;;;
2016-08-27;Olympique club de safi;Chabab Rif Al Hoceima;2;1;;;;;
2016-08-27;Chabab Atlas Khénifra;JSK Chabab Kasbat Tadla;0;0;;;;;
2016-08-28;RCA ;KAC Kénitra;4;0;;;;;
2016-08-28;KACM Marrakech;Moghreb Tétouan;2;2;;;;;
2016-09-17;Moghreb Tétouan;OCK Khouribga;1;0;;;;;
2016-09-17;KAC Kénitra;Ittihad Tanger;0;2;;;;;
2016-09-17;D.H. Eljadida;Hassania Agadir;3;0;;;;;
2016-09-18;JSK Chabab Kasbat Tadla;RCA ;0;2;;;;;
2016-09-18;FAR Rabat;Olympique club de safi ;2;0;;;;;
2016-09-18;RSB Berkane;KACM Marrakech;3;0;;;;;
2016-09-24;OCK Khouribga;RSB Berkane;0;1;;;;;
2016-09-24;Ittihad Tanger;JSK Chabab Kasbat Tadla;2;1;;;;;
2016-09-24;Hassania Agadir;KAC Kénitra;3;2;;;;;
2016-09-25;Olympique club de safi;D.H. Eljadida;1;2;;;;;
2016-09-25;KACM Marrakech;Chabab Rif Al Hoceima;1;2;;;;;
2016-09-25;Chabab Atlas Khénifra;RCA ;1;1;;;;;
2016-10-01;OCK Khouribga;WAC Casablanca;2;3;;;;;
2016-10-08;Moghreb Tétouan;Chabab Atlas Khénifra;0;0;;;;;
2016-10-09;KAC Kénitra;Olympique club de safi ;2;1;;;;;
2016-10-09;FAR Rabat;KACM Marrakech;1;2;;;;;
2016-10-09;Chabab Rif Al Hoceima;OCK Khouribga;1;4;;;;;
2016-10-14;Olympique club de safi;JSK Chabab Kasbat Tadla;1;0;;;;;
2016-10-14;KACM Marrakech;D.H. Eljadida;0;0;;;;;
2016-10-15;WAC Casablanca;Chabab Rif Al Hoceima;2;1;;;;;
2016-10-15;Chabab Atlas Khénifra;Ittihad Tanger;0;0;;;;;
2016-10-16;Moghreb Tétouan;RSB Berkane;1;0;;;;;
2016-10-16;Hassania Agadir;RCA ;2;2;;;;;
2016-10-17;OCK Khouribga;FAR Rabat;1;2;;;;;
2016-10-20;WAC Casablanca;Chabab Atlas Khénifra;3;1;;;;;
2016-10-21;Chabab Rif Al Hoceima;Moghreb Tétouan;2;1;;;;;
2016-10-22;KAC Kénitra;KACM Marrakech;1;1;;;;;
2016-10-22;JSK Chabab Kasbat Tadla;FUS Rabat;1;0;;;;;
2016-10-22;Ittihad Tanger;Hassania Agadir;0;0;;;;;
2016-10-23;RSB Berkane;Chabab Atlas Khénifra;0;1;;;;;
2016-10-23;RCA ;Olympique club de safi ;1;0;;;;;
2016-10-23;FAR Rabat;WAC Casablanca;0;5;;;;;
2016-10-23;D.H. Eljadida;OCK Khouribga;3;0;;;;;
2016-10-26;FUS Rabat ;RSB Berkane;1;0;;;;;
2016-10-28;WAC Casablanca;D.H. Eljadida;1;1;;;;;
2016-10-28;KACM Marrakech;JSK Chabab Kasbat Tadla;1;0;;;;;
2016-10-28;Chabab Atlas Khénifra;Hassania Agadir;2;1;;;;;
2016-10-29;Olympique club de safi;Ittihad Tanger;1;2;;;;;
2016-10-29;Moghreb Tétouan;FAR Rabat;3;1;;;;;
2016-10-30;RSB Berkane;Chabab Rif Al Hoceima;3;0;;;;;
2016-10-30;OCK Khouribga;KAC Kénitra;3;1;;;;;
2016-10-30;FUS Rabat ;RCA ;2;2;;;;;
2016-11-01;WAC Casablanca;Moghreb Tétouan;2;1;;;;;
2016-11-01;JSK Chabab Kasbat Tadla;Hassania Agadir;2;1;;;;;
2016-11-03;RCA ;KACM Marrakech;2;1;;;;;
2016-11-03;Chabab Rif Al Hoceima;Chabab Atlas Khénifra;1;0;;;;;
2016-11-04;JSK Chabab Kasbat Tadla;OCK Khouribga;1;0;;;;;
2016-11-04;FAR Rabat;RSB Berkane;0;1;;;;;
2016-11-05;KAC Kénitra;WAC Casablanca;0;1;;;;;
2016-11-05;Ittihad Tanger;FUS Rabat;1;1;;;;;
2016-11-06;Hassania Agadir;Olympique club de safi ;3;2;;;;;
2016-11-06;D.H. Eljadida;Moghreb Tétouan;1;0;;;;;
2016-11-16;Chabab Rif Al Hoceima;FUS Rabat;0;0;;;;;
2016-11-19;WAC Casablanca;JSK Chabab Kasbat Tadla;1;0;;;;;
2016-11-19;RSB Berkane;D.H. Eljadida;1;1;;;;;
